root_category-name,root_category-kanji,root_category-furigana,en-root_category_translation,fr-root_category_translation,main_category-name,main_category-kanji,main_category-furigana,en-main_category-translation,fr-main_category-translation,subcategory-name,subcategory-kanji,subcategory-furigana,en-subcategory-translation,fr-subcategory-translation,technique,en-description,fr-description,fr-1-dan,fr-2-dan,fr-3-dan,kanji,furigana,en-translation,fr-translation,video,picture,tutorial
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,hane-goshi,Spring hip throw,Percussion de hanche,hane-goshi,hane-goshi,hane-goshi,跳腰,はねごし,sputter-hip,pulveriser-hanche,https://youtu.be/M9_7De6A1kk,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/hane/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/hane/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,harai-goshi,Sweeping hip throw,Balayage de hanche,harai-goshi,harai-goshi,harai-goshi,払腰,はらいごし,claerout-hip,evacuer-hanche,https://youtu.be/qTo8HlAAkOo,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/harai/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/harai/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,koshi-guruma,Hip wheel,Roue autour de la hanche,koshi-guruma,koshi-guruma,koshi-guruma,腰車,こしぐるま,hip-wheel,hanche-roue,https://youtu.be/SU7Id6uVJ44,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/kosiguruma/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/kosiguruma/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,o-goshi,Full hip throw,grande bascule de hanche,o-goshi,o-goshi,o-goshi,大腰,おおごし,big-hip,grand-hanche,https://youtu.be/yhu1mfy2vJ4,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/oogosi/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/oogosi/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,sode-tsurikomi-goshi,Sleeve lifting-and-pulling hip throw,Technique de hanche en pêchant avec la manche,sode-tsurikomi-goshi,sode-tsurikomi-goshi,sode-tsurikomi-goshi,袖釣込腰,,sleeve-fishing-hip,manche-pêcher-hanche,https://www.youtube.com/watch?v=QsmAxpmYLOI,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/sodeturikomi/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/sodeturikomi/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,tsuri-goshi,Lifting hip throw,Hanche pêchée,,tsuri-goshi,tsuri-goshi,釣腰,つりごし,fish-hip,pêcher-hanche,https://www.youtube.com/watch?v=51Htlp7xEvE,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/turi/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/turi/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,tsurikomi-goshi,Lifting-and-pulling hip throw,Technique de hanche en pêchant,tsurikomi-goshi,tsurikomi-goshi,tsurikomi-goshi,釣込腰,つりこみごし,fish-include-hip,pécher-incluant-hanche,https://youtu.be/51Htlp7xEvE,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/turikomi/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/turikomi/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,uchi-mata,Inner-thigh hips version of  Inner-thigh,Fauchage de l’intérieur des cuisses (forme hanche),uchi-mata,uchi-mata,uchi-mata,内股,うちまた,inside-thigh,interieur-cuisse,https://youtu.be/0Q80pgrZYVk?si=vFlt07awBsFbC_OB&t=140,,
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,uki-goshi,Floating hip throw,Hanche flottante,uki-goshi,uki-goshi,uki-goshi,浮腰,うきごし,floating-hip,flottante-hanche,https://www.youtube.com/watch?v=bPKwtB4lyOQ,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/uki/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/uki/
nage-waza,投技,なげわざ,throw-technique,projection-technique,tachi-waza,立技,たちわざ,stand_up-technique,debout-technique,koshi-waza,腰技,こしわざ,hip-technique,hanche-technique,ushiro-goshi,Rear hip throw,Hanche arrière,ushiro-goshi,ushiro-goshi,ushiro-goshi,後腰,うしろごし,back-hip,dos-hanche,https://youtu.be/ORIYstuxYT8,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/usiro/image-mfi/img01.gif,https://www.judo-ch.jp/english/dictionary/technique/nage/kosi/usiro/
